q_id    iter    docno    rank    sim    run_id
2       0       Document 5348    0    5.7737045    Lucene
3       0       Document 1431    0    7.345946    Lucene
3       0       Document 3796    0    6.93794    Lucene
3       0       Document 3955    0    6.1117554    Lucene
3       0       Document 1221    0    5.8633356    Lucene
3       0       Document 4366    0    5.8023143    Lucene
3       0       Document 4279    0    5.772901    Lucene
3       0       Document 3794    0    5.759119    Lucene
3       0       Document 1430    0    5.7516    Lucene
3       0       Document 4390    0    5.7516    Lucene
3       0       Document  891    0    5.4212155    Lucene
3       0       Document 4282    0    5.389556    Lucene
3       0       Document 3897    0    5.3787622    Lucene
3       0       Document 3893    0    5.3222275    Lucene
3       0       Document 5391    0    5.2409534    Lucene
3       0       Document 3225    0    5.2022953    Lucene
3       0       Document 1707    0    5.172857    Lucene
3       0       Document 5218    0    5.136319    Lucene
3       0       Document 3795    0    5.0881543    Lucene
3       0       Document 4743    0    5.032322    Lucene
3       0       Document 4637    0    4.9660234    Lucene
3       0       Document  872    0    4.9638414    Lucene
3       0       Document 1407    0    4.950213    Lucene
3       0       Document 4363    0    4.9301105    Lucene
3       0       Document 3815    0    4.834794    Lucene
3       0       Document 1706    0    4.812922    Lucene
3       0       Document 1781    0    4.777402    Lucene
3       0       Document 1224    0    4.7627044    Lucene
3       0       Document  408    0    4.7447424    Lucene
3       0       Document 1053    0    4.7421055    Lucene
3       0       Document  234    0    4.740745    Lucene
3       0       Document 3440    0    4.6343904    Lucene
3       0       Document 1218    0    4.628149    Lucene
3       0       Document 3919    0    4.451014    Lucene
3       0       Document 4281    0    4.4489045    Lucene
3       0       Document 2129    0    4.44749    Lucene
3       0       Document 2238    0    4.447322    Lucene
3       0       Document 2894    0    4.4282646    Lucene
3       0       Document 1532    0    4.4129095    Lucene
3       0       Document  290    0    4.3717527    Lucene
3       0       Document 3379    0    4.3601236    Lucene
3       0       Document 1112    0    4.349435    Lucene
3       0       Document 1220    0    4.345792    Lucene
3       0       Document 2762    0    4.330433    Lucene
3       0       Document 1718    0    4.2879815    Lucene
3       0       Document 3806    0    4.277075    Lucene
3       0       Document 1223    0    4.2768774    Lucene
3       0       Document 4744    0    4.267153    Lucene
3       0       Document 1758    0    4.255642    Lucene
3       0       Document  927    0    4.216167    Lucene
3       0       Document 3275    0    4.1846056    Lucene
3       0       Document 5212    0    4.182403    Lucene
3       0       Document  286    0    4.156992    Lucene
3       0       Document 1705    0    4.1423097    Lucene
3       0       Document 4758    0    4.136354    Lucene
3       0       Document 1307    0    4.123208    Lucene
3       0       Document 3900    0    4.110484    Lucene
3       0       Document 5222    0    4.094525    Lucene
3       0       Document  899    0    4.085886    Lucene
3       0       Document 4243    0    4.0721903    Lucene
3       0       Document  877    0    4.059396    Lucene
3       0       Document 1451    0    4.025269    Lucene
3       0       Document  390    0    4.021925    Lucene
3       0       Document 1624    0    4.0143237    Lucene
